IPM Region,State,Resource Class,1,2,3,4,5,6
,,7,198,234,,,,
,,8,182,,,,,
,MO,5,111,,,,,
,,6,41,78,90,107,120,206
,,7,16,42,54,71,82,208
,,8,25,50,71,81,86,211
MIS_WOTA,LA,7,185,328,,,,
,,8,138,246,280,352,,
,TX,6,160,,,,,
,,7,64,155,,,,
,,8,38,95,141,173,199,249
MIS_WUMS,MI,3,179,,,,,
,,4,422,,,,,
,,5,175,,,,,
,,6,230,,,,,
,,7,117,258,517,,,
,,8,77,174,241,315,486,657
,WI,4,57,,,,,
,,5,21,,,,,
,,6,16,73,100,116,134,187
,,7,19,49,61,70,81,167
,,8,52,86,110,132,155,214
NENG_CT,CT,6,39,,,,,
,,7,49,,,,,
,,8,56,,,,,
NENG_ME,ME,1,107,,,,,
,,2,153,,,,,
,,3,175,,,,,
,,4,177,,,,,
,,5,193,566,,,,
,,6,52,208,329,442,576,732
,,7,54,107,143,184,213,509
,,8,20,45,56,68,90,432
NENGREST,MA,1,69,,,,,
,,3,61,,,,,
,,4,26,,,,,
,,5,41,,,,,
,,6,33,,,,,
,,7,106,,,,,
,,8,172,,,,,
,NH,1,52,,,,,
,,2,96,,,,,
,,3,40,,,,,
,,4,84,,,,,
,,5,137,,,,,
,,6,173,,,,,
,,7,153,,,,,
,,8,90,239,,,,
,RI,6,4,,,,,
,,7,20,,,,,
,,8,19,,,,,
,VT,1,29,,,,,
,,2,33,,,,,
,,3,30,,,,,
,,4,36,,,,,
,,5,51,,,,,
,,6,98,,,,,
,,7,129,264,,,,
,,8,85,165,247,325,,
NY_Z_A,NY,5,29,,,,,
,,6,20,121,365,438,,
,,7,83,311,355,365,389,455
,,8,236,344,362,388,397,428
NY_Z_B,NY,5,44,,,,,
,,6,33,108,544,,,
,,7,44,189,293,349,423,546
,,8,251,319,360,430,488,
NY_Z_C&E,NY,1,11,,,,,
,,2,10,,,,,
,,3,23,,,,,
,,4,86,,,,,
,,5,57,,,,,
,,6,16,50,87,142,176,
,,7,8,18,38,58,80,368
,,8,89,160,181,205,222,388
NY_Z_D,NY,1,18,,,,,
,,3,14,,,,,
,,4,23,,,,,
,,5,34,,,,,
,,6,86,288,,,,
,,7,146,268,347,394,461,542
,,8,211,266,303,339,371,453
NY_Z_F,NY,1,38,,,,,
,,2,36,,,,,
,,3,56,,,,,
,,4,53,,,,,
,,5,45,,,,,
,,6,29,111,,,,
,,7,18,57,115,170,234,328
,,8,130,168,201,217,238,321
NY_Z_G-I,NY,1,2,,,,,
,,3,4,,,,,
,,4,5,,,,,
,,5,6,,,,,
,,6,7,,,,,
,,7,8,8,8,,,
,,8,9,9,9,9,,
NY_Z_K,NY,4,14,,,,,
,,5,35,,,,,
,,6,54,,,,,
,,7,25,,,,,
PJM_AP,MD,5,8,,,,,
,,6,20,,,,,
,,7,78,,,,,
,,8,122,,,,,
,PA,4,10,,,,,
,,5,17,,,,,
,,6,25,,,,,
,,7,76,218,,,,
,,8,53,133,168,208,248,
,VA,1,47,,,,,
,,2,44,,,,,
,,3,11,,,,,
,,4,38,,,,,
,,5,30,,,,,
,,6,37,,,,,
,,7,63,,,,,
,,8,61,,,,,
,WV,1,3,,,,,
,,2,19,,,,,
,,3,7,,,,,
,,4,15,,,,,
,,5,28,,,,,
,,6,34,,,,,
,,7,47,166,,,,
,,8,48,104,153,220,,
PJM_ATSI,OH,5,25,,,,,
,,6,78,,,,,
,,7,12,38,57,75,88,206
,,8,16,57,116,163,197,271
,PA,7,17,,,,,
,,8,213,326,,,,
PJM_COMD,IL,5,76,176,223,,,
,,6,19,49,72,114,142,246
,,7,129,226,303,330,,
,,8,241,,,,,
PJM_Dom,NC,7,15,,,,,
,,8,120,,,,,
,VA,4,41,,,,,
,,5,26,,,,,
,,6,20,,,,,
,,7,24,,,,,
,,8,35,,,,,
PJM_EMAC,DE,7,9,,,,,
,,8,110,,,,,
,MD,6,77,,,,,
,,7,45,,,,,
,,8,91,,,,,
,NJ,7,19,,,,,
,,8,21,,,,,
,PA,7,7,,,,,
,,8,43,,,,,
,VA,6,73,,,,,
,,7,51,,,,,
,,8,70,,,,,
PJM_PENE,PA,3,38,,,,,
,,4,21,,,,,
,,5,31,,,,,
,,6,23,80,,,,
,,7,13,38,73,98,124,225
,,8,53,97,106,123,142,245
PJM_SMAC,MD,7,10,,,,,
,,8,31,,,,,
PJM_West,IN,6,40,163,218,,,
,,7,116,172,208,246,279,
,,8,114,,,,,
,KY,6,30,,,,,
,,7,10,,,,,
,,8,67,164,218,260,,
,MI,5,3,,,,,
,,6,10,,,,,
,,7,63,,,,,
,,8,20,,,,,
,OH,6,85,,,,,
,,7,29,96,132,159,188,273
,,8,26,78,109,134,156,211
,TN,5,16,,,,,
,,6,19,,,,,
,,7,30,,,,,
,,8,44,,,,,
,VA,3,28,,,,,
,,4,13,,,,,
,,5,13,,,,,
,,6,16,,,,,
,,7,18,,,,,
,,8,55,,,,,
,WV,1,56,,,,,
,,2,56,,,,,
,,4,56,,,,,
,,5,55,,,,,
,,6,34,,,,,
,,7,42,,,,,
,,8,113,,,,,
PJM_WMAC,PA,4,26,,,,,
,,5,18,,,,,
,,6,29,,,,,
,,7,31,137,,,,
,,8,43,94,137,226,,
S_C_KY,KY,7,65,128,,,,
,,8,16,36,50,64,78,160
S_C_TVA,AL,6,23,,,,,
,,7,32,,,,,
,,8,71,195,251,309,,
,GA,5,47,,,,,
,,6,41,,,,,
,,7,54,,,,,
,,8,142,,,,,
,IL,8,1,,,,,
,KY,7,61,,,,,
,,8,30,66,97,143,216,349
,MS,7,31,,,,,
,,8,115,235,283,373,,
,NC,1,31,,,,,
,,2,33,,,,,
,,3,32,,,,,
,,4,31,,,,,
,,5,31,,,,,
,,6,32,,,,,
,,7,45,,,,,
,,8,73,,,,,
,TN,2,40,,,,,
,,4,40,,,,,
,,5,24,,,,,
,,6,17,,,,,
,,7,125,,,,,
,,8,16,49,81,98,124,313
,VA,6,12,,,,,
,,7,17,,,,,
,,8,36,,,,,
S_D_AECI,MO,3,10,,,,,
,,4,210,,,,,
,,5,189,242,276,307,338,
,,6,48,97,131,150,171,269
,,7,15,29,49,58,62,203
,,8,23,52,72,90,103,258
S_SOU,AL,5,18,,,,,
,,6,20,,,,,
,,7,30,,,,,
,,8,44,179,285,,,
,FL,7,30,,,,,
,,8,51,,,,,
,GA,5,10,,,,,
,,6,14,,,,,
,,7,29,,,,,
,,8,42,164,,,,
,MS,7,4,,,,,
,,8,25,,,,,
S_VACA,GA,8,2,,,,,
,NC,1,6,,,,,
,,3,16,,,,,
,,4,46,,,,,
,,5,24,,,,,
,,6,29,,,,,
,,7,160,,,,,
,,8,120,,,,,
,SC,6,30,,,,,
,,7,17,,,,,
,,8,112,276,,,,
SPP_N,KS,1,123,221,256,297,351,448
,,2,25,72,91,110,122,299
,,3,39,57,91,108,130,292
,,4,43,72,87,106,117,300
,,5,29,62,90,97,112,337
,,6,67,142,160,182,188,289
,,7,178,272,,,,
,MO,5,212,,,,,
,,6,40,91,119,147,165,226
,,7,31,74,95,119,132,209
,,8,110,169,206,249,312,
SPP_NEBR,KS,2,385,407,,,,
,,4,383,408,,,,
,,5,361,402,418,,,
,,6,415,,,,,
,NE,1,88,171,202,220,258,371
,,2,67,116,127,148,161,306
,,3,21,66,109,123,135,309
,,4,26,45,63,74,80,295
,,5,16,30,36,43,55,285
,,6,17,33,48,62,74,261
,,7,39,138,267,449,,
SPP_SPS,NM,1,302,,,,,
,,2,368,,,,,
,,3,326,376,,,,
,,4,253,401,,,,
,,5,49,78,98,113,131,270
,,6,57,99,120,151,176,285
,,7,90,149,171,189,199,257
,,8,339,,,,,
,OK,1,186,,,,,
,,2,149,237,,,,
,,3,77,167,306,,,
,,4,40,78,112,179,276,
,,5,57,171,233,270,310,
,,6,303,,,,,
,TX,1,116,165,215,254,294,373
,,2,96,155,184,214,252,330
,,3,63,107,169,216,262,311
,,4,109,157,207,240,271,330
,,5,125,165,177,190,209,291
,,6,176,205,227,239,256,313
,,7,222,,,,,
,,8,147,,,,,
SPP_WAUE,MN,5,177,216,267,,,
,,6,209,,,,,
,MT,1,65,,,,,
,,2,14,,,,,
,,3,142,,,,,
,,4,100,145,189,260,,
,,5,83,100,117,128,130,191
,,6,94,137,155,173,191,242
,,7,192,,,,,
,ND,1,240,,,,,
,,2,177,,,,,
,,3,107,166,209,225,267,353
,,4,95,131,157,180,212,314
,,5,79,108,127,148,171,338
,,6,80,254,351,393,414,
,,7,342,,,,,
,SD,1,70,192,252,304,386,486
,,2,131,182,214,245,310,436
,,3,88,143,162,168,184,362
,,4,50,90,97,111,123,353
,,5,22,30,52,57,69,340
,,6,53,82,103,115,132,346
,,7,209,390,,,,
,,8,75,,,,,
SPP_WEST,AR,1,93,,,,,
,,2,77,,,,,
,,3,83,,,,,
,,4,75,,,,,
,,5,68,,,,,
,,6,96,,,,,
,,7,63,117,173,214,283,
,,8,84,169,209,246,270,335
,LA,7,85,,,,,
,,8,182,,,,,
,MO,7,327,,,,,
,,8,239,389,,,,
,OK,1,234,,,,,
,,2,345,459,,,,
,,3,310,403,,,,
,,4,165,295,328,355,382,430
,,5,108,158,190,213,232,381
,,6,43,81,110,123,143,309
,,7,48,85,106,116,130,248
,,8,151,197,235,262,300,386
,TX,7,147,,,,,
,,8,59,137,206,,,
WEC_BANC,CA,6,8,,,,,
,,7,89,,,,,
,,8,83,244,,,,
WEC_CALN,CA,1,84,,,,,
,,2,64,,,,,
,,3,38,,,,,
,,4,32,,,,,
,,5,69,,,,,
,,6,80,,,,,
,,7,51,182,324,,,
,,8,31,99,191,249,282,412
WEC_LADW,CA,1,7,,,,,
,,2,5,,,,,
,,3,21,,,,,
,,4,17,,,,,
,,5,74,,,,,
,,6,56,,,,,
,,7,80,,,,,
,,8,115,230,,,,
WEC_SDGE,CA,1,77,,,,,
,,2,38,,,,,
,,3,90,,,,,
,,4,47,,,,,
,,5,78,,,,,
,,6,139,,,,,
,,7,159,,,,,
,,8,172,,,,,
WECC_AZ,AZ,3,25,,,,,
,,4,48,,,,,
,,5,57,,,,,
,,6,173,,,,,
,,7,53,160,270,314,335,423
,,8,56,90,114,134,153,340
WECC_CO,CO,1,117,,,,,
,,2,301,,,,,
,,3,342,,,,,
,,4,190,236,249,263,275,337
,,5,152,227,242,246,258,381
,,6,62,144,186,206,214,350
,,7,37,77,103,127,151,331
,,8,54,88,114,136,143,353
WECC_ID,ID,1,45,,,,,
,,2,43,,,,,
,,3,36,,,,,
,,4,37,,,,,
,,5,56,,,,,
,,6,38,100,166,311,,
,,7,47,70,93,98,102,265
,,8,8,46,49,59,68,277
WECC_IID,CA,3,10,,,,,
,,5,32,,,,,
,,6,106,,,,,
,,7,354,450,486,524,544,
,,8,273,378,415,465,534,
WECC_MT,MT,1,28,102,246,477,571,
,,2,194,460,,,,
,,3,104,237,377,482,557,
,,4,72,147,201,256,304,433
,,5,28,77,101,124,141,345
,,6,21,30,51,59,60,323
,,7,23,28,44,47,48,250
,,8,41,67,83,95,100,254
WECC_NM,NM,1,305,,,,,
,,2,305,426,474,498,,
,,3,266,374,485,,,
,,4,236,290,315,319,333,408
,,5,146,231,243,269,275,417
,,6,61,129,152,174,194,403
,,7,56,101,105,114,125,357
,,8,74,91,106,120,126,332
,TX,1,265,,,,,
,,2,271,,,,,
,,3,312,,,,,
,,4,189,,,,,
,,5,251,347,,,,
,,6,99,115,151,168,204,278
,,7,66,82,107,130,148,264
,,8,124,222,244,281,324,370
WECC_NNV,NV,1,138,,,,,
,,2,97,,,,,
,,3,105,,,,,
,,4,78,,,,,
,,5,113,,,,,
,,6,27,121,248,339,448,671
,,7,28,77,122,199,239,485
,,8,20,25,44,54,68,464
WECC_PNW,CA,2,26,,,,,
,,3,26,,,,,
,,4,34,,,,,
,,5,44,,,,,
,,6,70,,,,,
,,7,155,,,,,
,,8,210,,,,,
,ID,1,31,,,,,
,,2,20,,,,,
,,3,24,,,,,
,,4,23,,,,,
,,5,24,,,,,
,,6,29,,,,,
,,7,51,,,,,
,,8,137,337,,,,
,OR,1,26,,,,,
,,2,30,,,,,
,,3,29,,,,,
,,4,36,,,,,
,,5,85,,,,,
,,6,34,186,422,,,
,,7,22,68,108,147,177,364
,,8,47,103,140,163,191,383
,WA,1,33,,,,,
,,2,25,,,,,
,,3,47,,,,,
,,4,25,,,,,
,,5,30,,,,,
,,6,21,89,,,,
,,7,14,48,80,103,129,219
,,8,21,45,67,84,96,207
WECC_SCE,CA,1,28,,,,,
,,2,40,,,,,
,,3,67,,,,,
,,4,39,,,,,
,,5,80,,,,,
,,6,105,289,,,,
,,7,114,262,344,390,499,
,,8,165,246,298,367,426,551
WECC_SNV,NV,5,34,,,,,
,,6,33,,,,,
,,7,73,,,,,
,,8,69,117,194,,,
WECC_UT,UT,1,137,,,,,
,,2,104,,,,,
,,3,71,,,,,
,,4,90,,,,,
,,5,97,,,,,
,,6,133,443,,,,
,,7,91,181,218,230,245,455
,,8,85,121,133,146,167,421
WECC_WY,NE,1,117,,,,,
,,2,22,,,,,
,,3,185,204,229,260,,
,,4,163,169,195,203,228,243
,,5,224,,,,,
,SD,1,304,,,,,
,,2,62,,,,,
,,3,300,,,,,
,,4,189,253,304,352,,
,,5,80,123,174,203,208,276
,,6,44,70,84,98,110,227
,,7,32,58,76,83,94,180
,,8,43,91,106,129,145,167
,WY,1,13,19,24,39,45,193
,,2,29,61,106,145,218,319
,,3,31,58,85,108,126,258
,,4,28,60,77,97,99,252
,,5,10,25,37,48,50,254
,,6,12,36,42,45,51,269
,,7,44,60,64,72,77,255
,,8,14,37,57,76,88,250
